5.06 -117.8628333 36.0785 1488308921 8km ENE of Coso Junction, CA
5.0 127.592 -1.3117 1488308913 9km WNW of Laiwui, Indonesia
4.47 -117.5663333 35.7443333 1562278328 15km W of Searles Valley, CA
3.85 -118.6221667 34.426 1488308334 6km SW of Valencia, CA
3.35 -117.5148315 35.6775017 1562277755 14km SW of Searles Valley, CA
3.2 -117.5240021 35.7211685 1562280141 12km WSW of Searles Valley, CA
2.87 -118.9321667 35.0486667 1562279416 12km N of Grapevine, CA
2.8 -98.1613 37.2869 1488184600 12km W of Harper, Kansas
2.7 -154.3655 58.8763 1562278022 102km SSE of Old Iliamna, Alaska
2.62 -117.4893333 35.7008333 1562279407 11km SW of Searles Valley, CA
2.51 -117.495 35.7038333 1562279346 11km SW of Searles Valley, CA
2.5 -157.2238 66.1709 1560657035 83km S of Kobuk, Alaska
2.44 -117.5496667 35.7353333 1562277810 14km WSW of Searles Valley, CA
2.42 -117.5668333 35.7506667 1562278530 15km W of Searles Valley, CA
2.41 -117.5973358 35.6091652 1562278698 7km E of Ridgecrest, CA
2.4 -117.6156667 35.6338333 1562279739 6km ENE of Ridgecrest, CA
2.37 -117.5199966 35.6665001 1562280717 15km ENE of Ridgecrest, CA
2.36 -117.5431667 35.7381667 1562277984 13km WSW of Searles Valley, CA
2.31 -117.5256667 35.6998333 1562278638 13km SW of Searles Valley, CA
2.3 -117.5363333 35.6555 1562277903 13km ENE of Ridgecrest, CA
2.28 -117.5603333 35.6293333 1562278200 10km E of Ridgecrest, CA
2.26 -117.5211667 35.7246667 1562277555 12km WSW of Searles Valley, CA
2.25 -117.5175 35.7045 1562278795 12km SW of Searles Valley, CA
2.16 -117.6011667 35.6028333 1562280249 7km ESE of Ridgecrest, CA
2.14 -117.4828333 35.702 1562279667 10km SW of Searles Valley, CA
2.1 -117.5265 35.7173333 1562279892 12km WSW of Searles Valley, CA
2.08 -117.576 35.6648333 1562277848 10km ENE of Ridgecrest, CA
2.06 -117.8628333 36.0785 1488308921 8km ENE of Coso Junction, CA
2.05 -118.9219971 37.6396675 1560657183 5km E of Mammoth Lakes, CA
2.05 -117.7621667 35.7355 1562277492 11km NNE of Inyokern, CA
2.02 -117.4943333 35.693 1562279310 12km SW of Searles Valley, CA
2.0 -117.5065 35.7103333 1562279783 11km SW of Searles Valley, CA
1.95 -117.5233333 35.6681667 1562277289 15km ENE of Ridgecrest, CA
1.93 -122.8174973 38.8185005 1560737627 7km NW of The Geysers, CA
1.93 -117.5501633 35.7408333 1562280702 14km WSW of Searles Valley, CA
1.92 -117.518 35.7046667 1562277601 12km SW of Searles Valley, CA
1.88 -117.6308333 35.5758333 1562279400 6km SE of Ridgecrest, CA
1.88 -117.5755 35.6041667 1562278826 9km ESE of Ridgecrest, CA
1.83 -118.925499 37.6425018 1560657074 5km E of Mammoth Lakes, CA
1.8 -149.2608 62.2835 1560740011 33km ENE of Y, Alaska
1.8 -117.542 35.726 1562278040 13km WSW of Searles Valley, CA
1.8 -117.6156667 35.579 1562277342 7km SE of Ridgecrest, CA
1.79 -122.8373337 38.7976685 1488309363 7km WNW of The Geysers, California
1.76 -118.9191666 37.6349983 1560657019 5km E of Mammoth Lakes, CA
1.73 -117.5345 35.6538333 1562279499 13km ENE of Ridgecrest, CA
1.7 -152.4559 64.9044 1560657583 34km SSW of Tanana, Alaska
1.68 -117.6058333 35.7735 1562280527 18km NNE of Ridgecrest, CA
1.66 -117.5448333 35.7643333 1562279944 13km W of Searles Valley, CA
1.64 -117.5071667 35.6746667 1562279271 14km SW of Searles Valley, CA
1.61 -117.6115 35.575 1562279553 8km SE of Ridgecrest, CA
1.6 -154.654 58.3025 1560739929 93km NNW of Larsen Bay, Alaska
1.57 -117.6685 36.1145 1560656190 26km ENE of Coso Junction, CA
1.55 -117.4561667 35.6466667 1562279627 14km SSW of Searles Valley, CA
1.52 -117.5403333 35.7375 1562280347 13km WSW of Searles Valley, CA
1.51 -117.5808333 35.6151667 1562278989 9km E of Ridgecrest, CA
1.5 -81.4815 41.6432 1560738536 1km NW of Willowick, Ohio
1.5 -149.9447 61.4583 1560737886 7km S of Big Lake, Alaska
1.49 -117.5401667 35.736 1562277398 13km WSW of Searles Valley, CA
1.46 -117.5126667 35.67 1562279531 15km SW of Searles Valley, CA
1.44 -117.5305 35.6801667 1562280610 15km ENE of Ridgecrest, CA
1.4 -118.9250031 37.6431656 1560656240 5km E of Mammoth Lakes, CA
1.4 -117.6221667 35.5803333 1562280320 7km SE of Ridgecrest, CA
1.37 -117.5248333 35.7181667 1562280046 12km WSW of Searles Valley, CA
1.37 -117.593 35.6188333 1562278177 8km E of Ridgecrest, CA
1.3 -149.5245 62.7572 1562277579 56km NNE of Talkeetna, Alaska
1.2 -152.2124 60.6886 1562279255 36km NE of Redoubt Volcano, Alaska
1.1 -157.1932 66.3132 1562277831 67km SSW of Kobuk, Alaska
1.05 -118.9244995 37.6399994 1560657207 5km E of Mammoth Lakes, CA
1.0 -147.4444 64.3779 1488306484 30km WSW of Salcha, Alaska
0.99 -118.9051666 37.6599998 1560657305 7km ENE of Mammoth Lakes, CA
0.98 -118.9260025 37.6426659 1560657669 5km E of Mammoth Lakes, CA
